City_ID,City_ID,city,country,latitude,longitude,Maximum_temperature,percent_humidity,percent_cloudiness,wind_speed,description
449,449,Estelle,US,29.8458,-90.1067,30.56,75,40,2.06,scattered clouds
453,453,Cururupu,BR,-1.8283,-44.8683,23.36,94,6,1.25,clear sky
454,454,San Cristobal,VE,7.7669,-72.225,23.1,98,100,1.71,overcast clouds
456,456,St. George's,GD,12.0564,-61.7485,25.82,89,75,7.2,broken clouds
458,458,Silvi,IT,42.5456,14.122,25.67,50,75,1.03,broken clouds
460,460,Nīlēshwar,IN,12.25,75.1,26.99,81,100,3.99,overcast clouds
461,461,Marawi,PH,7.9986,124.2928,29.8,45,96,2.87,overcast clouds
464,464,Karaton,ID,-6.3424,106.1045,30.09,48,14,0.46,few clouds
466,466,Hetauda,NP,27.4284,85.0322,30.64,70,58,1.2,moderate rain
468,468,Atar,MR,20.5169,-13.0499,29.19,41,22,2.68,few clouds
469,469,Isla Mujeres,MX,21.2311,-86.731,28.03,79,19,4.65,few clouds
475,475,Garoowe,SO,8.4054,48.4845,24.26,60,100,10.74,overcast clouds
476,476,Dosso,NE,13.049,3.1937,24.85,81,97,4.03,overcast clouds
478,478,Kudahuvadhoo,MV,2.6708,72.8944,27.72,74,83,2.95,broken clouds
482,482,Qena,EG,26.1615,32.7183,28.06,26,4,2.8,clear sky
484,484,Verāval,IN,20.9,70.3667,27.9,84,100,10.79,overcast clouds
487,487,Snihurivka,UA,47.0758,32.8052,23.94,82,6,2.42,clear sky
494,494,Naliya,IN,23.2667,68.8333,28.15,81,100,10.65,overcast clouds
498,498,Zalţan,LY,32.947,11.8665,25.21,54,0,4.11,clear sky
501,501,Fort Dix,US,40.0298,-74.6185,23.65,86,1,0.0,clear sky
508,508,Boralday,KZ,43.3578,76.8594,27.27,19,0,2.73,clear sky
511,511,Iracoubo,GF,5.4802,-53.2011,24.69,89,100,3.39,overcast clouds
512,512,Srīvardhan,IN,18.0333,73.0167,27.52,84,100,7.57,overcast clouds
515,515,Kalmunai,LK,7.4167,81.8167,30.54,57,99,0.37,overcast clouds
516,516,Galle,LK,6.0367,80.217,27.45,85,93,6.16,overcast clouds
519,519,Dorado,PR,18.4588,-66.2677,26.17,92,6,3.82,clear sky
522,522,Sokoni,TZ,-6.4333,39.55,23.92,76,11,7.29,few clouds
524,524,Abadan,TM,38.0507,58.2056,28.85,58,20,6.17,few clouds
525,525,Bathsheba,BB,13.2167,-59.5167,27.34,83,40,7.2,scattered clouds
526,526,Tupelo,US,34.2576,-88.7034,28.16,80,1,0.0,clear sky
527,527,Magoula,GR,38.0833,23.5167,28.82,31,0,2.57,clear sky
529,529,Kasiri,SL,8.9412,-13.1148,23.37,91,100,3.31,light rain
533,533,Weligama,LK,5.9667,80.4167,28.01,80,89,5.91,overcast clouds
535,535,Lábrea,BR,-7.2586,-64.7981,23.79,63,2,2.03,clear sky
538,538,Thinadhoo,MV,0.5333,72.9333,27.41,70,98,2.26,overcast clouds
542,542,Pasni,PK,25.2631,63.471,28.14,87,100,3.73,overcast clouds
543,543,Tuscaloosa,US,33.2098,-87.5692,27.88,95,1,0.0,clear sky
544,544,Sandusky,US,41.3501,-83.1332,25.47,82,82,3.05,broken clouds
548,548,Scottsboro,US,34.6723,-86.0341,25.87,100,40,0.0,scattered clouds
549,549,Pervomays'k,UA,48.0443,30.8507,23.85,67,60,1.42,broken clouds
554,554,Oussouye,SN,12.485,-16.5469,27.05,85,100,2.54,overcast clouds
559,559,Kassala,SD,15.451,36.4,24.14,83,86,5.5,overcast clouds
560,560,Sabha,LY,27.0377,14.4283,25.67,28,0,5.01,clear sky
573,573,Wana,PK,32.2989,69.5725,25.47,75,77,1.82,broken clouds
579,579,Kulhudhuffushi,MV,6.6221,73.07,28.09,74,100,5.65,overcast clouds
581,581,Long Beach,US,33.767,-118.1892,31.89,75,1,0.45,clear sky
582,582,Patu,BR,-6.11,-37.6367,23.2,74,11,3.91,few clouds
584,584,San,ML,13.3034,-4.8956,24.42,86,96,4.19,overcast clouds
588,588,Zhanakorgan,KZ,43.9098,67.2495,30.89,15,42,3.03,scattered clouds
592,592,Brenes,ES,37.5494,-5.8714,25.03,50,0,1.54,clear sky
597,597,Aracataca,CO,10.5918,-74.1898,27.88,80,33,1.6,scattered clouds
598,598,Zernograd,RU,46.8452,40.3083,23.3,92,3,0.95,clear sky
599,599,Marathon,US,44.9,-89.7668,25.38,89,40,3.6,scattered clouds
600,600,Dwārka,IN,22.2394,68.9678,28.1,84,99,13.42,overcast clouds
